지역,서울,인천,경기
2014-01-01,17925,10204,10855
2014-02-01,17925,10408,10791
2014-03-01,18016,10408,10784
2014-04-01,18098,10000,10876
2014-05-01,19446,9844,10646
2014-06-01,18867,10058,10266
2014-07-01,18742,9974,10124
2014-08-01,19274,9973,10134
2014-09-01,19404,9973,10501
2014-10-01,19759,10016,10397
2014-11-01,20242,10020,10356
2014-12-01,20269,10020,10379
